Neighborhood,Latitude,Longitude
"Allied Gardens, San Diego",32.73284000000007,-117.10775999999998
"Alta Vista, San Diego",32.728480025535305,-117.16124004053883
"Alvarado Estates, San Diego",32.69467000000003,-117.13807999999995
"Azalea Park, San Diego",32.69166000000007,-117.04083999999995
"Bankers Hill, San Diego",32.813120000000026,-117.26510999999999
"Barrio Logan, San Diego",32.79290000000003,-117.15430999999995
"Bay Terraces, San Diego",32.99950000000007,-117.14514999999994
"Bird Rock, San Diego",32.73105000000004,-117.05379999999997
"Birdland, San Diego",32.733755746072305,-117.1273439057351
"Black Mountain Ranch, San Diego",32.97878990705475,-117.08510654814945
"Broadway Heights, San Diego",32.715050000000076,-117.09319999999997
"Burlingame, San Diego",32.749690000000044,-117.10714999999999
"Carmel Mountain Ranch, San Diego",32.7773667771192,-117.14775896124173
"Chollas View, San Diego",32.83456000000007,-117.19440999999995
"City Heights, San Diego",32.74150139458533,-117.05027939458533
"Civita, San Diego",32.72229503553981,-117.16740899999999
"Clairemont, San Diego",32.71568000000008,-117.16170999999997
"College Area, San Diego",32.718920000000026,-117.15652999999998
"Columbia, San Diego",32.78762000000006,-117.06416999999999
"Core, San Diego",32.948390000000074,-117.25991999999997
"Cortez Hill, San Diego",32.942570000000046,-117.18641999999994
"Del Cerro, San Diego",32.71969997778306,-117.15553997778298
"Del Mar Heights, San Diego",32.753660000000025,-117.19447999999994
"Del Mar Mesa, San Diego",32.742975566621126,-117.22093586223096
Downtown San Diego,32.71153000000004,-117.14968999999996
Dryden Historic District (San Diego),32.58131000000003,-117.09698999999995
"East Elliott, San Diego",32.75467000000003,-117.07290999999998
"East Village, San Diego",33.02656002221706,-117.27323992339427
"Egger Highlands, San Diego",32.71551000000005,-117.07630999999998
"El Cerrito, San Diego",32.720470000000034,-117.05887999999999
El Pueblo Ribera,32.74670000000003,-117.10090999999994
"Emerald Hills, San Diego",32.83756257268218,-117.26238673503418
"Encanto, San Diego",32.71047005496561,-117.1607300255352
"Fairmount Park, San Diego",32.72526052173389,-117.1084374897652
Fairway Village,32.71586000000008,-117.13190999999995
"Gaslamp Quarter, San Diego",32.71126000000004,-117.13384999999994
"Gateway, San Diego",32.78741000000008,-117.09772999999996
"Golden Hill, San Diego",32.72522967803902,-117.20170962471273
"Grant Hill, San Diego",32.72715000000005,-117.17259999999999
"Grantville, San Diego",32.74995000000007,-117.16555999999997
"Harbor Island, San Diego",32.74031000000008,-117.09109999999998
"Harborview, San Diego",32.71285788365195,-117.03649070079422
"Hillcrest, San Diego",32.82181000000003,-117.14961999999997
"Islenair, San Diego",32.764940000000024,-117.10501
"Jamacha, San Diego",32.840850000000046,-117.25779999999997
"Kearny Mesa, San Diego",32.86162000000007,-117.23321999999996
"Kensington, San Diego",32.718300000000056,-117.23369999999994
La Jolla,32.699380000000076,-117.09048999999999
"La Jolla Village, San Diego",32.784190000000024,-117.17134999999996
"La Playa, San Diego",32.72586000000007,-117.1676
"Lincoln Park, San Diego",32.711550000000045,-117.14420999999999
"Linda Vista, San Diego",32.74020000000007,-117.23865999999998
"Little Italy, San Diego",32.763905817881664,-117.1443269471381
"Logan Heights, San Diego",32.71096000000006,-117.16559999999998
"Loma Portal, San Diego",32.727054696207745,-117.12425343672709
"Lomita, San Diego",32.69598000000008,-117.12562999999994
"Marina, San Diego",32.737010000000055,-117.17575
"Marston Hills, San Diego",32.71568000000008,-117.16170999999997
"Memorial, San Diego",32.714770000000044,-117.17310999999995
"Middletown, San Diego",32.91225000000003,-117.15071999999998
"Midtown, San Diego",32.893610000000024,-117.1334
"Midway, San Diego",32.772500000000036,-117.25121999999999
"Mira Mesa, San Diego",32.752500000000055,-117.18033999999994
"Miramar, San Diego",32.77976390209859,-117.09783523426066
"Mission Beach, San Diego",32.769490000000076,-117.19006999999999
"Mission Hills, San Diego",32.71148000000005,-117.10892999999999
"Mission Valley, San Diego",32.703050000000076,-117.10808999999995
"Morena, San Diego",32.8018652730693,-117.04976073084468
"Mount Hope, San Diego",32.576490000000035,-117.08865999999995
"Mountain View, San Diego",32.76314000000008,-117.11004999999994
"Navajo, San Diego",32.759833511114785,-117.14753159574695
"Nestor, San Diego",32.74526000000003,-117.13234999999997
"Normal Heights, San Diego",32.73444000000006,-117.07741999999996
"North City, San Diego",32.75711975813592,-117.21978062864233
"North Park, San Diego",32.744530000000054,-117.24779999999998
"Oak Park, San Diego",32.5686757929229,-117.01410017073944
Ocean Beach Antique District,32.75810000000007,-117.19746999999995
"Ocean Beach, San Diego",32.57923000000005,-117.05804999999998
"Ocean View Hills, San Diego",32.56751000000003,-116.96242999999998
"Old Town, San Diego",32.801390000000026,-117.24135999999999
"Otay Mesa West, San Diego",32.96415152567389,-117.19224452567389
"Otay Mesa, San Diego",32.584250000000054,-117.08406999999994
"Pacific Beach, San Diego",32.68130000000008,-117.06004999999999
"Pacific Highlands Ranch, San Diego",32.733040450711826,-117.24948445835558
"Palm City, San Diego",32.71231000000006,-117.24824999999998
"Paradise Hills, San Diego",33.02444000000003,-117.08482999999995
"Point Loma Heights, San Diego",32.92718000000008,-117.01959999999997
"Point Loma, San Diego",32.96160000000003,-117.12845999999996
"Rancho Bernardo, San Diego",32.73767980247068,-117.16311364799108
"Rancho Encantada, San Diego",32.76342000000005,-117.06023999999996
"Rancho Peñasquitos, San Diego",32.76111000000003,-117.05928999999998
"Redwood Village, San Diego",32.72630000000004,-117.23768999999999
"Rolando Park, San Diego",32.94473000000005,-117.09231999999997
"Rolando, San Diego",32.80373000000003,-117.05103999999994
"Roseville-Fleetridge, San Diego",33.09882620030908,-117.01863309551845
"Sabre Springs, San Diego",32.549005816817406,-117.03504016002576
"San Carlos, San Diego",32.79598000000004,-117.12493999999998
"San Pasqual Valley, San Diego",32.68665000000004,-117.10696999999999
"San Ysidro, San Diego",32.71599981409821,-117.22395468262314
"Serra Mesa, San Diego",32.711580000000026,-117.14181999999994
"Shelltown, San Diego",32.70748000000003,-117.04618999999997
"Shelter Island, San Diego",32.90498000000002,-117.21423999999996
"Sherman Heights, San Diego",32.89169000000004,-117.19519999999994
"Skyline, San Diego",32.72729000000004,-117.12960999999996
"Sorrento Mesa, San Diego",32.58378000000005,-117.09664999999995
"Sorrento Valley, San Diego",32.69190000000003,-117.11240999999995
"South Park, San Diego",32.67886179888846,-117.1098764094998
South San Diego,32.71568000000008,-117.16170999999997
"Southcrest, San Diego",32.71176000000003,-117.12247999999994
Southeast San Diego,32.728500000000054,-117.25001999999995
"Stingaree, San Diego",32.73768000000007,-117.09782999999999
"Stockton, San Diego",32.76240000000007,-117.08943999999997
"Sunset Cliffs, San Diego",32.834700000000055,-117.07992999999999
"Swan Canyon, San Diego",32.544800000000066,-117.07252999999997
"Talmadge, San Diego",32.966860000000054,-117.15419999999995
"Tierrasanta, San Diego",32.96439,-117.23153849999998
"Tijuana River Valley, San Diego",32.86962831108491,-117.242390687862
"Torrey Highlands, San Diego",32.71568000000008,-117.16170999999997
"Torrey Hills, San Diego",32.851440000000025,-117.21638999999999
"Torrey Pines, San Diego",32.759070000000065,-117.14815999999996
"Tri-City, San Diego County, California",32.69882000000007,-117.07815999999997
"University City, San Diego",32.86162000000007,-117.23321999999996
"University Heights, San Diego",32.704434000000006,-117.12227119943144
"Valencia Park, San Diego",32.71452000000005,-117.24454999999995
